iter	Passed	Remaining
0	169	169198
1	174	87260
2	179	59647
3	183	45761
4	188	37607
5	193	31975
6	198	28125
7	203	25265
8	207	22889
9	213	21158
10	219	19758
11	223	18440
12	229	17451
13	236	16622
14	246	16184
15	251	15462
16	256	14818
17	262	14299
18	266	13747
19	271	13286
20	276	12897
21	281	12506
22	285	12125
23	290	11821
24	295	11514
25	299	11206
26	302	10908
27	307	10686
28	311	10433
29	315	10189
30	318	9952
31	321	9725
32	323	9482
33	325	9247
34	327	9022
35	328	8807
36	330	8604
37	334	8477
38	336	8294
39	337	8111
40	339	7944
41	341	7786
42	342	7631
43	344	7485
44	348	7397
45	350	7274
46	352	7145
47	353	7016
48	355	6891
49	356	6772
50	357	6656
51	359	6553
52	361	6451
53	363	6368
54	365	6273
55	366	6176
56	367	6081
57	368	5988
58	370	5902
59	371	5822
60	372	5738
61	374	5661
62	376	5600
63	379	5549
64	381	5489
65	383	5421
66	384	5353
67	385	5278
68	386	5214
69	388	5163
70	389	5102
71	392	5053
72	393	4994
73	394	4937
74	396	4886
75	398	4844
76	400	4802
77	402	4755
78	404	4712
79	409	4709
80	411	4665
81	412	4620
82	414	4579
83	416	4538
84	417	4489
85	418	4447
86	419	4401
87	424	4400
88	426	4366
89	428	4330
90	429	4293
91	431	4255
92	432	4217
93	433	4181
94	435	4151
95	437	4119
96	438	4085
97	440	4049
98	441	4015
99	442	3980
100	443	3946
101	443	3908
102	445	3875
103	446	3843
104	447	3811
105	448	3779
106	449	3748
107	451	3725
108	452	3700
109	453	3671
110	454	3642
111	455	3614
112	456	3586
113	457	3559
114	458	3531
115	459	3503
116	460	3478
117	461	3452
118	462	3425
119	463	3401
120	465	3382
121	466	3359
122	467	3332
123	468	3309
124	469	3285
125	470	3263
126	471	3243
127	472	3219
128	473	3199
129	475	3179
130	476	3160
131	477	3140
132	479	3123
133	480	3108
134	482	3091
135	483	3074
136	485	3056
137	486	3038
138	487	3021
139	489	3005
140	490	2989
141	492	2973
142	493	2959
143	495	2944
144	496	2927
145	497	2912
146	499	2897
147	500	2882
148	502	2867
149	503	2851
150	504	2836
151	506	2824
152	508	2816
153	511	2810
154	513	2796
155	514	2782
156	515	2767
157	516	2751
158	517	2736
159	518	2722
160	519	2707
161	520	2693
162	521	2679
163	523	2667
164	525	2656
165	526	2645
166	527	2631
167	528	2617
168	529	2604
169	530	2590
170	531	2577
171	532	2565
172	533	2552
173	535	2539
174	536	2527
175	537	2515
176	538	2505
177	540	2496
178	541	2484
179	542	2472
180	543	2458
181	544	2448
182	545	2436
183	546	2425
184	547	2413
185	548	2402
186	549	2390
187	550	2379
188	551	2368
189	553	2360
190	554	2350
191	556	2340
192	557	2329
193	558	2319
194	559	2308
195	560	2299
196	561	2289
197	562	2278
198	563	2268
199	564	2258
200	565	2248
201	566	2239
202	568	2231
203	569	2222
204	570	2213
205	571	2203
206	572	2193
207	573	2184
208	574	2175
209	575	2166
210	576	2156
211	577	2147
212	578	2138
213	579	2129
214	580	2121
215	581	2112
216	583	2104
217	584	2095
218	585	2086
219	586	2078
220	587	2069
221	588	2061
222	589	2053
223	590	2045
224	591	2037
225	592	2029
226	593	2021
227	594	2013
228	595	2005
229	596	1997
230	598	1990
231	599	1983
232	600	1975
233	601	1967
234	602	1960
235	603	1952
236	604	1945
237	605	1937
